year,quadrant,plantation,plantation_standard,owner,owner_name_varients,owner_surname,owner_nationality,field_worker_male_adult,field_worker_female_adult,field_worker_male_teen,field_worker_female_teen,field_worker_male_child,field_worker_female_child,field_worker_incapable,maroons,house_worker_male,house_worker_female,artisan_worker,creole,african,total,married_couples,unmarried_couples,missing_men_adult,missing_female_adult,missing_men_child,missing_female_child,missing_total,animal_cattle_male,animal_cattle_female,animal_goats_sheep,animal_mules,animal_horses,acre_sugar,acre_provision,acre_fallow,acre_woodland,acre_cotton,acre_for_enslaved,acre_total,avg_harvest_sugar,avg_harvest_rum,avg_harvest_cotton,unused_acre_sugar,unused_acre_cotton,link
1792,Dronningens_Kvadrant,Judiths Fancy,,John Benners Arv,,Benner,Dutch,14,23,1,7,13,16,30,1,21,21,7,102,52,154,4,13,15,15,,,30,17,21,116,7,2,180,40,140,,,30,390,140,60,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,St. Johns,,John Heyliger Burt,,Heyliger,Dutch,35,44,26,11,12,7,31,,1,5,10,98,84,182,21,3,10,10,10,20,50,16,14,50,20,3,432,8,81,,,62,575,230,100,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Montpellier,,Charles Chabert Jr.,Charles Chabert & Joseph Black,Chabert,French,18,22,4,6,10,5,14,,1,1,5,54,32,86,,2,,,10,10,20,7,16,46,5,1,140,10,65,,,10,225,80,36,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Concordia,,Peter L. Oxholm,,Oxholm,Danish,29,28,16,4,8,6,17,3,3,13,18,72,73,145,4,15,10,20,10,10,50,12,15,124,19,19,200,20,150,50,,10,430,200,80,,100,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Windsor,,Charles Chabert Sen.,,Chabert,French,44,59,13,12,17,19,16,,1,14,15,130,80,210,,19,20,,10,,30,28,25,43,24,1,270,60,100,280,,42,900,100,40,,70,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Glynn,,James Johnsons Arv,James Johnstons Arv,Johnson,,37,44,3,4,12,8,8,,3,7,8,76,58,134,,25,20,30,20,30,100,16,10,30,24,3,184,40,76,,,15,300,250,100,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Morning Star,,William McDougall,,McDougall,Scottish,30,38,9,7,9,2,12,,1,2,9,75,44,119,,16,20,30,10,12,72,12,4,,8,1,185,10,48,,,10,295,180,80,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Rattan,,George Aitkin,,Aitkin,,48,48,12,13,10,13,10,,3,8,9,110,64,174,,29,20,24,10,6,60,20,7,80,15,2,244,25,75,10,,10,425,200,90,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Mary's Fancy,,Bertram Peter de Nullys Arv,Madame de Nully,de Nully,French,44,31,5,6,7,6,5,1,1,5,6,43,74,117,,,,,,,,7,2,41,30,,250,10,28,,,8,300,168,59,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Lime Tree,Limetree,Isaac Hartmann,Isaac Hartman,Hartmann,,25,17,4,2,3,1,12,1,4,6,2,33,44,77,,11,10,10,10,10,40,15,,,11,4,130,,,,,20,150,200,75,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Bonne Esperance,,Lucas Benners Arv,,Benner,Dutch,26,16,11,10,9,10,4,,2,6,6,51,49,100,,15,6,10,8,12,36,6,6,22,10,6,110,,25,,,15,150,200,75,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Diamond & Ruby,,Peter Heyliger Abz,,Heyliger,Dutch,54,56,19,8,19,19,7,,3,,11,103,93,196,14,20,8,12,,,20,7,5,,8,2,232,,4,,,10,300,350,150,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Sion Hill,,Thomas Bradshaw,Thomas Bradshou,Bradshaw,,39,47,9,10,14,9,6,,5,9,13,107,54,161,7,15,10,10,,,20,12,7,4,25,1,218,,32,,,50,300,240,100,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Constitution Hill,Constitution Hill,Generalmajor Schimmelmann,,Schimmelmann,Danish,45,24,24,19,9,6,13,,3,2,9,61,93,154,,8,,,20,30,50,14,3,,29,2,222,15,55,,,8,300,200,90,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Sion Farm,,Robert Tuite,,Tuite,Irish,48,59,12,16,19,36,25,,7,13,28,201,62,263,5,19,,,25,15,40,38,11,30,33,1,360,12,129,,,24,525,400,190,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Strawberry Hill,Strawberry Hill,Tuite & Stapelton,Robert Tuite & Stapelton,Tuite; Stapelton,Irish,28,26,10,9,15,8,16,2,2,2,5,62,61,123,,18,,,20,10,30,6,2,60,26,1,180,3,42,,,,225,230,90,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Moirs,Moirs,William & Samuel Newton,,Newton,English,18,20,3,10,7,5,5,,1,2,2,48,25,73,,11,15,10,20,15,60,13,5,27,16,1,160,,45,,,20,225,150,60,,30,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Cottage,,,,,,16,5,4,3,1,3,12,,,3,3,26,24,50,,6,5,10,6,4,25,1,2,,8,2,90,12,20,,,28,150,50,25,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Castle Coakley,,Coakleys Arv,Major Coakleys Arv; Major Cooklys Arv,Coakley,English,36,48,10,10,13,20,29,,2,2,23,123,70,193,3,28,,,,,,21,10,36,16,1,198,9,37,,,,262,250,120,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Peters Rest,,Bertram Peter de Nullys Arv,Madame de Nully,de Nully,French,30,36,8,6,4,16,10,,3,2,17,83,49,132,13,16,,,,,,12,4,14,16,6,116,10,24,,,,150,130,60,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Work & Rest,,Peter L. Oxholm,,Oxholm,Danish,49,43,15,13,6,8,21,4,4,5,16,98,86,184,14,16,10,30,5,15,60,19,3,22,29,2,370,40,30,,,25,465,250,120,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Pearl,,Abraham Heyligers Arv,,Heyliger,Dutch,14,29,6,3,4,7,20,2,1,4,10,50,50,100,2,7,10,10,10,10,40,5,12,8,5,1,156,10,104,,,30,300,90,40,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Jerusalem,,John Stewens Ferrall,Doctor J. Stewens Ferrall; Doctor Ferrall,Ferrall,Irish,33,34,3,2,7,7,16,,1,4,6,55,58,113,2,11,,,8,4,12,9,7,95,12,2,170,,25,,,,225,165,75,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Figtree Hill,,John Stewens Ferrall,Doctor J. Stewens Ferrall; Doctor Ferrall,Ferrall,Irish,7,11,6,2,1,,4,,6,10,2,24,25,49,,3,,,,,,,,,,,40,10,12,,10,8,80,26,12,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Hope,Hope,Peter Heyliger Sen. Arv,Peter & Maria A. Heyligers Arv,Heyliger,Dutch,37,35,8,6,18,10,35,,2,1,24,126,50,176,7,33,25,40,10,25,100,8,18,6,5,1,157,12,35,,,21,225,170,80,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Humbug,,John Heyliger Abz,,Heyliger,Dutch,15,13,4,3,6,3,4,,1,2,4,22,33,55,,8,10,20,,,30,7,5,38,10,2,100,8,34,,,8,150,60,30,,40,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Cane Garden,,Christopher McEvoys Arv.,,McEvoy,Scottish,27,18,13,8,5,5,20,3,3,5,4,38,73,111,4,26,10,15,6,9,40,,4,137,13,5,170,15,30,,,5,220,120,60,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Dronningens_Kvadrant,Cassava Garden,,Thomas M. Bladwell,,Bladwell,,9,9,,,7,,2,,2,2,3,23,11,34,,3,6,10,,4,20,,3,,4,2,55,8,10,,,4,75,35,15,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788329"
1792,Prindsens_Kvadrant,Hard Labour,,Alexander Coopers Arv,Alexander & John Cooper,Cooper,,11,12,2,,1,5,4,,,1,,13,23,36,,,12,8,6,6,32,,2,12,16,1,100,4,16,,,30,150,40,20,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Two Friends,Two Friends,Peter Penthenys Arv,Doctor Peter Pentheny,Pentheny,,27,21,4,5,5,4,9,,1,3,6,43,42,85,1,10,5,,10,5,20,,3,,19,5,130,5,15,,,,150,140,60,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Montpellier,,John O Ferrall,John O Ferall,Ferrall,Irish,25,25,7,7,8,8,12,,3,4,7,50,56,106,2,20,,,5,5,10,6,4,20,6,8,100,20,20,,,10,150,50,25,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Clare Mount,Clare Mount,Charles Dalhy,Charles Daly,Dahly,Irish,15,10,6,,1,5,1,,1,2,3,19,25,44,,4,10,10,,,20,,,,10,1,50,5,10,,,10,75,25,12,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Bog of Allen,Bog of Allen,Augustinus Pentheny,Augustus Pentheny,Pentheny,,10,14,5,2,5,,9,20,2,2,7,50,26,76,,8,15,5,,,20,,1,,22,10,130,,15,,,5,150,100,50,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Springfield,,William Bourke,William Bourk; William Bourk Spririgfield,Bourke,Irish,18,26,7,7,7,4,5,,4,3,2,31,52,83,,16,5,,5,5,15,,4,20,15,5,120,5,20,,,5,150,120,50,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,River,,William & Samuel Newton,,Newton,English,54,68,16,19,23,18,14,,3,6,28,121,118,239,1,51,30,30,50,50,160,21,8,55,27,2,400,,150,50,,100,700,400,150,,200,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Jealousy,,Richard Forster,,Forster,Irish,48,33,14,5,12,12,21,,1,2,9,67,90,157,1,14,15,16,15,24,70,10,8,20,19,1,220,30,30,,,20,300,,65,,30,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Love old work,,Lucas de Windts Arv,Madame de Windt Arv; Madame Dewints,de Windt,French,20,20,5,5,3,5,16,,1,2,6,30,61,91,8,15,30,5,10,10,100,5,8,14,18,,204,,76,,,20,300,180,70,,42,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Grove Place,,Hendrichsens Arv,Major Hendrichsens Arv; Cornelius Hendrichson,Hendrichsen,,34,32,21,12,15,15,18,,1,3,10,105,56,161,1,22,10,20,,,30,20,10,50,24,,300,20,90,,,40,450,250,110,,100,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,the Hope,the Hope,Peter Coppinger,,Coppinger,,25,19,14,6,5,7,17,1,2,8,6,65,45,110,,3,10,15,,,25,20,3,65,19,4,110,,10,15,,15,150,100,40,,20,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Waldberg Gaard,Waldberg Gaard,Hesselberg Arv,General Krigs Commissair Hesselberg,Hesselberg,,23,25,1,1,7,6,11,,1,2,5,42,40,82,,20,5,5,,,10,13,4,,20,4,115,5,20,,,10,150,50,20,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Mountain,,Richard Rogers Arv,,Roger,,11,7,3,4,2,,2,,1,1,1,23,9,32,,4,8,12,5,,25,4,,8,14,2,60,10,15,,,15,100,22,9,,20,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Mint,,,,,,10,5,2,2,4,3,3,,2,7,1,27,12,39,,4,8,12,,,20,,2,,12,3,45,,5,,,,50,60,30,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,St. George,,John Heyliger P. Z. Arv,,Heyliger,Dutch,29,26,13,10,5,6,33,1,1,3,11,39,99,138,4,31,20,20,,,40,21,9,9,22,1,250,10,20,,,20,300,177,63,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Plessen,Plessen,Cornelius Kortrights Arv,,Kortright,,40,34,5,8,11,11,6,,2,7,6,70,60,130,1,15,18,18,7,7,50,23,11,40,28,1,280,,110,,,60,450,180,90,,110,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Love new works,,Lucas de Windts Arv,Madame de Windt Arv; Madame Dewints,de Windt,French,26,15,6,8,3,1,16,,2,1,8,18,68,86,3,20,30,50,10,10,100,7,1,,24,1,220,,67,,,13,300,200,80,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Castle Bourke,,William & Samuel Newton,,Newton,English,35,29,4,6,11,8,9,,3,4,11,69,51,120,8,23,15,20,10,15,60,17,16,40,18,21,210,,42,,,10,262,200,70,,20,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Pleasant Prospect,,Manning Lakes Sen. Arv,Manning Lackes Sen. Arv,Lake,,12,13,3,2,2,4,2,,1,1,2,30,12,42,,15,15,,5,5,25,3,4,,12,1,126,5,16,,,3,150,50,17,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Patience,,,,,,9,9,4,1,1,5,2,,1,5,1,25,13,38,1,9,6,4,5,,15,,,20,12,3,55,6,,,,,61,30,12,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Mount Pleasant,,Cornelius Kortrights Arv,,Kortright,,43,50,10,7,16,22,21,,4,7,14,131,63,194,2,17,10,10,,,20,15,13,29,14,4,275,25,,,,,300,300,115,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Diamond,,Rapzart Heyliger,,Heyliger,Dutch,32,33,7,8,7,13,16,,2,2,11,68,63,131,,13,20,10,10,10,50,20,15,50,21,1,347,16,50,,,,423,350,200,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Water Ground,,Richard Richardson,,Richardson,,19,11,3,2,2,2,3,,,,1,20,23,43,,17,15,20,3,2,40,5,3,21,11,1,100,15,20,,,15,150,30,10,,30,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Old Rye,,Seth Smith Sen.,Sesh Smith Sen.,Smith,,11,9,,,2,5,,,1,1,1,14,16,30,,8,,,,,,4,3,30,10,1,70,32,32,,,16,150,20,9,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Enfield Green,,Patrick Ferralls Arv,,Ferrall,Irish,44,24,9,6,10,4,6,,2,10,3,45,73,118,,16,,,20,30,50,17,26,87,10,7,230,12,75,,,14,375,120,60,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Paradise,,Charles Dahly,Charles Daly,Dahly,Irish,28,38,7,3,9,15,,,3,7,9,83,36,119,1,9,15,15,10,10,50,12,4,40,10,5,185,10,20,,,10,225,60,25,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Nr. 46,,Moses Titcomb,Moses Titicomb,Titcomb,,35,36,6,3,7,1,5,,4,11,5,57,56,113,,14,15,,5,5,25,10,10,50,17,4,200,25,50,,,,275,80,35,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Golden Grove,,Wiliam Armstrong,Armstrong & Irving,Armstrong,English,33,14,3,3,2,1,23,7,1,2,6,22,73,95,,10,15,35,15,5,70,10,11,,18,1,227,15,20,,,,262,80,40,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Negroe Bay,,William Manning,,Manning,,20,32,5,11,5,4,5,,2,2,6,54,38,92,4,12,6,8,6,10,30,12,19,13,6,1,140,10,60,80,,10,300,60,25,,50,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Envy,,John William Delany,,Delany,,9,4,1,,1,,8,,4,4,5,24,12,36,2,5,,8,2,10,20,1,2,,7,1,60,6,5,,,4,75,12,4,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Mountpelier,,Alexander Coopers Arv,Alexander & John Cooper,Cooper,,21,19,6,3,7,1,14,,1,3,7,24,58,82,,16,6,6,,,12,8,8,45,,3,99,,40,,,,139,50,26,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
1792,Prindsens_Kvadrant,Bettys Hope,,Samuel Thompson,,Thompson,English,52,45,25,28,12,9,38,,5,7,18,126,113,239,,31,,,,,,52,20,125,26,5,342,50,107,5,,35,540,200,120,,,,"https://arkivalieronline.rigsarkivet.dk/da/billedviser?epid=20201795#292226,58788335"
